22280,31.065,40.187,0.002,0.119
6610,2.72,3.516,0.001,0.033
1888,0.217,0.289,0.0,0.008
4015,1.176,1.386,0.0,0.018
8635,4.688,6.255,0.001,0.127
4794,1.427,1.826,0.0,0.022
4712,1.392,1.789,0.0,0.021
5444,1.837,2.388,0.0,0.026
1417,0.123,0.159,0.0,0.006
325,0.006,0.009,0.0,0.001
7875,3.88,4.994,0.0,0.038
5676,2.023,2.621,0.0,0.036
11660,8.446,11.811,0.001,0.057
12879,10.586,14.135,0.001,0.062
7615,3.675,4.613,0.0,0.039
18426,21.608,27.631,0.001,0.096
4793,1.446,1.839,0.0,0.021
1579,0.157,0.198,0.0,0.006
17110,18.832,23.436,0.001,0.089
15183,14.908,18.46,0.001,0.079
8994,5.099,6.429,0.001,0.042
2791,0,0,0.0,0.013
24113,0,0,0.002,0.134
45230,0,0,0.003,0.259
43936,0,0,0.003,0.244
44292,0,0,0.003,0.258
89801,0,0,0.006,0.527
19074,0,0,0.001,0.102
14529,0,0,0.001,0.072
28547,0,0,0.002,0.168
27553,0,0,0.002,0.147
